file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,5
style.css,2,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,33
style.css,3,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,4,css,12993656,ananyakw,2026-04-18,21:21:22,-07:00,2026-04-18T21:21:22-07:00,0,0
style.css,5,css,12993656,ananyakw,2026-04-18,21:21:22,-07:00,2026-04-18T21:21:22-07:00,0,4
style.css,6,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,32
style.css,7,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,23
style.css,8,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,9,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,10,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,4
style.css,11,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,23
style.css,12,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,15
style.css,13,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,42
style.css,14,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,18
style.css,15,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,16,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,17,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,22
style.css,18,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,15
style.css,19,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,17
style.css,20,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,21,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,22,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,2
style.css,23,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,14
style.css,24,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,25,css,12993656,ananyakw,2026-04-18,21:21:22,-07:00,2026-04-18T21:21:22-07:00,0,0
